No,Kode Provinsi,Provinsi,Kode Kabupaten,Kabupaten,Jenis Bencana,Tanggal,Meninggal,Hilang,Terluka,Mengungsi
8283,53,NUSA TENGGARA TIMUR,5304,TIMOR TENGAH SELATAN,BANJIR,3/11/2010,15,7,0,0
18077,53,NUSA TENGGARA TIMUR,5309,FLORES TIMUR,GEMPA BUMI,25/12/1982,13,0,0,0
17302,53,NUSA TENGGARA TIMUR,5303,KUPANG,KLB,28/7/2002,12,0,2153,0
17040,53,NUSA TENGGARA TIMUR,5311,ENDE,BANJIR DAN TANAH LONGSOR,1/4/2003,11,18,0,0
17039,53,NUSA TENGGARA TIMUR,5309,FLORES TIMUR,BANJIR DAN TANAH LONGSOR,1/4/2003,11,1,8,0
1184,53,"	NUSA TENGGARA TIMUR",5309,FLORES TIMUR,KECELAKAAN TRANSPORTASI,18/4/2014,11,0,57,0
17045,53,NUSA TENGGARA TIMUR,5309,FLORES TIMUR,BANJIR DAN TANAH LONGSOR,31/3/2003,11,1,62,0
17048,53,NUSA TENGGARA TIMUR,5309,FLORES TIMUR,BANJIR,29/3/2003,10,2,75,0
8692,53,NUSA TENGGARA TIMUR,5308,LEMBATA,KECELAKAAN TRANSPORTASI,9/8/2010,10,23,0,0
15096,53,NUSA TENGGARA TIMUR,5307,ALOR,KECELAKAAN TRANSPORTASI,16/1/2006,9,5,0,0
15063,53,NUSA TENGGARA TIMUR,5313,MANGGARAI,BANJIR DAN TANAH LONGSOR,22/1/2006,9,0,12,0
12312,53,NUSA TENGGARA TIMUR,5371,KOTA KUPANG,KECELAKAAN TRANSPORTASI,9/11/2008,8,2,9,0
